Date,ID,Sector,Country,Coupon,Market_Value,Market_Value_BOM,OAS,Modified_Duration,Index_Rating,Excess_Return_MTD,Total_Return_MTD
4/1/2020,B163,FIN,Italy,2.855,507397.1705,508066.94,374.144,4.584,BA1   ,-0.0413,-0.1409
4/1/2020,B164,E&U,United Kingdom,5,250032.9899,248473.1165,390.223,2.628,B1    ,-0.0597,0.6237
4/1/2020,B165,E&U,Spain,3.375,497275.9584,496779.55,416.76,3.606,BA1   ,0.1919,0.0908
4/1/2020,B166,IND,United States,3.375,602997.185,601254,413.838,4.413,BA2   ,0.3772,0.2808
4/1/2020,B167,IND,United States,4.5,418328.111,418204,372.35,3.024,BA3   ,0.1262,0.0206
4/1/2020,B168,CONS,Germany,6.25,173838.2552,174388.362,3623.0301,1.761,CAA1  ,-0.2671,-0.3245
4/1/2020,B169,CONS,Germany,8.75,141555.515,142888.2937,4597.6803,2.092,CAA3  ,-0.8799,-0.9418
4/1/2020,B170,CONS,United States,2,741702.529,743266.4775,350.873,3.024,BA1   ,-0.114,-0.2195
4/1/2020,B171,CONS,United States,4.125,458700.7624,453043.9357,428.801,6.003,BA1   ,0.3973,1.2445
4/1/2020,B172,FIN,Luxembourg,7.5,260979.9166,256248.25,2581.9599,1.879,B3    ,1.896,1.8372
4/1/2020,B173,TECH,Spain,3.125,628074.5976,626778.144,265.597,2.207,BA1   ,0.2609,0.1977
4/1/2020,B174,IND,Luxembourg,7.75,140701.4096,141561.179,3380.3699,1.896,B3    ,-0.5572,-0.6164
4/1/2020,B175,TECH,Japan,5.25,188225.4255,188379.7559,792.191,5.793,BA3   ,-0.0234,-0.091
4/1/2020,B176,TECH,Japan,4.75,640149.1356,641950.08,718.071,4.513,BA3   ,-0.1913,-0.2896
4/1/2020,B177,TECH,Japan,4,274618.8288,274037.6162,695.726,2.139,BA3   ,0.2654,0.203
4/1/2020,B178,E&U,United Kingdom,5.875,199978.7985,198724.8509,613.702,2.081,B1    ,-0.0355,0.6269
4/1/2020,B179,CONS,United Kingdom,8.25,359257.7283,357639.0638,1127.91,2.43,CAA1  ,0.5154,0.4434
4/1/2020,B180,FIN,United States,4,520706.8081,522114.725,380.181,2.075,BA1   ,-0.2173,-0.2787
4/1/2020,B181,FIN,Luxembourg,8.5,472695.8159,468220.1579,2484.5301,1.971,B3    ,0.2938,0.9518
4/1/2020,B182,FIN,Luxembourg,11,204458.1836,203129.7059,2194.9699,2.508,CAA2  ,-0.029,0.6499
4/1/2020,B183,IND,Italy,1.125,433371.3593,433442.0061,873.225,1.517,BA3   ,0.0221,-0.0254
4/1/2020,B184,IND,Italy,1.875,424005.8433,424921.6,581.072,5.16,BA3   ,-0.1283,-0.2246
4/1/2020,B185,IND,Belgium,5.118,522952.6427,523430.085,535.355,1.104,BA1   ,-0.0699,-0.1003
4/1/2020,B186,IND,Belgium,5.869,531537.4148,531963.81,588.53,3.594,BA1   ,0.0115,-0.0893
4/1/2020,B187,IND,Italy,1.75,599241.4353,599098.485,650.792,5.658,BA3   ,0.0888,0.0147
4/1/2020,B188,IND,United States,4.375,739587.7618,739779.25,373.502,3.377,BA1   ,0.0751,-0.035
4/1/2020,B189,CONS,United States,3.75,200372.212,197795.4175,1145.14,3.238,BA3   ,1.4098,1.2935
4/1/2020,B190,TECH,Italy,3.625,756083.3116,755655.0675,423.732,3.53,BA1   ,0.1512,0.0476
4/1/2020,B191,TECH,United States,5.75,330528.7947,330330.777,6982.1602,0.109,CAA1  ,0.0717,0.0508
4/1/2020,B192,TECH,United States,7.5,228459.2041,233691.75,1066.77,2.274,B2    ,-2.1864,-2.248
4/1/2020,B193,CONS,United Kingdom,3.75,1229925.75,1231347.775,483.021,3.698,BA1   ,-0.0281,-0.1246
4/1/2020,B194,FIN,United Kingdom,6.125,88906.20521,88501.30322,1332.9101,3.585,BA3   ,-0.2742,0.4534
4/1/2020,B195,CONS,United States,3.875,498014.1907,495865,462.061,3.568,BA3   ,0.5263,0.4243
4/1/2020,B196,CONS,Spain,1,213076.2979,212865.69,3796.1998,0.891,CA    ,0.1158,0.0898
4/1/2020,B197,IND,France,3.5,215695.3455,215981.39,943.612,2.808,B2    ,-0.0519,-0.1415
4/1/2020,B198,FIN,Italy,4.25,759577.7225,760313.9325,514.344,1.051,BA2   ,-0.0764,-0.1059
4/1/2020,B199,FIN,Spain,5.625,482406.2438,483785.45,793.028,4.834,BA1   ,-0.1937,-0.2942
4/1/2020,B200,IND,Germany,4.5,498764.539,499192.62,523.637,2.86,BA1   ,-0.0009,-0.0949
4/1/2020,B201,TECH,Luxembourg,5.625,518013.0311,516511.809,679.507,3.352,BA2   ,0.3929,0.2815
4/1/2020,B202,IND,United States,3.125,694259.7103,694467.031,508.819,4.139,BA3   ,0.0526,-0.039
4/1/2020,B203,FIN,United Kingdom,7.5,544369.0765,541166.1877,963.551,2.853,B1    ,-0.1038,0.5877
4/1/2020,B204,IND,Luxembourg,5.375,598091.9541,596926.4145,843.839,3.484,B1    ,0.2914,0.1861
4/1/2020,B205,CONS,Greece,6.75,89467.52578,98307.5,10044.7998,0.912,CAA2  ,-8.9732,-9.0005
4/1/2020,B206,TECH,Luxembourg,4.625,694802.7888,691682.2125,618.551,1.517,BA2   ,0.4887,0.442
4/1/2020,B207,CONS,United States,1.5,525583.2498,525369.8285,363.474,3.907,BA1   ,0.1238,0.0315
4/1/2020,B208,CONS,United States,2.25,1098427.32,1096550.413,486.077,7.155,BA1   ,0.2008,0.162
4/1/2020,B209,IND,United Kingdom,4.5,300318.7511,298530.5975,931.064,3.012,BA1   ,-0.1032,0.5949
4/1/2020,B210,CONS,Spain,3.5,448905.6167,449856.11,843.861,2.813,B1    ,-0.1304,-0.2204
4/1/2020,B211,CONS,Sweden,3.25,496413.8349,496408.47,568.039,1.075,BA1   ,0.022,-0.008
4/1/2020,B212,CONS,United Kingdom,4.875,309203.3253,299261.3516,1318.39,2.954,BA2   ,2.6237,3.318
4/1/2020,B213,FIN,Cyprus,11.25,126084.6327,126722.7855,3440.1398,0.897,B2    ,-0.4865,-0.5126
4/1/2020,B214,CONS,United States,3.5,497816.7427,498252.78,452.54,3.741,BA2   ,-0.002,-0.0966
4/1/2020,B215,TECH,Italy,3.625,1006772.4,1000961.64,466.621,5.337,BA1   ,0.6609,0.5714
4/1/2020,B216,FIN,Italy,4.375,728337.5039,729066.495,551.606,1.678,BA1   ,-0.0533,-0.1091
4/1/2020,B217,IND,Greece,3.5,291003.1833,290536.983,766.72,1.141,BA2   ,0.1828,0.1513
4/1/2020,B218,IND,Italy,3.75,461168.6988,459731.5292,1012.64,1.135,BA3   ,0.3347,0.3035
4/1/2020,B219,CONS,United States,5.5,450132.2595,451530,614.782,2.674,B2    ,-0.2435,-0.3186
4/1/2020,B220,CONS,Italy,7,228665.6112,227604.0553,1465.52,2.753,B1    ,0.5426,0.4573
4/1/2020,B221,CONS,United Kingdom,6.25,233281.5787,200691.5991,2073.7099,1.987,CAA2  ,15.5839,16.2341
